title,platform,publisher,sales_genre,release_year,rating,na_sales,eu_sales,jp_sales,other_sales,global_sales,plays,playing,backlogs,wishlist,num_reviews,sales_per_review,engagement_ratio
No More Heroes,Wii,Rising Star Games,Action,2007,4.0,0.3,0.17,0.04,0.05,0.57,5600.0,280.0,2600.0,1800.0,1200.0,0.0005,0.05
Super Mario Bros. 3,NES,Nintendo,Platform,1988,4.0,9.54,3.44,3.84,0.46,17.28,14000.0,109.0,1400.0,362.0,1600.0,0.0108,0.0078
Super Mario Bros. 3,GBA,Nintendo,Platform,1988,4.0,2.93,1.25,0.83,0.2,5.2,14000.0,109.0,1400.0,362.0,1600.0,0.0032,0.0078
Dishonored,X360,Bethesda Softworks,Action,2012,3.9,1.06,0.52,0.01,0.14,1.73,14000.0,268.0,3100.0,866.0,1100.0,0.0016,0.0191
Dishonored,PS3,Bethesda Softworks,Action,2012,3.9,0.72,0.54,0.04,0.25,1.55,14000.0,268.0,3100.0,866.0,1100.0,0.0014,0.0191
Dishonored,PC,Bethesda Softworks,Action,2012,3.9,0.26,0.19,0.0,0.06,0.51,14000.0,268.0,3100.0,866.0,1100.0,0.0005,0.0191
Dishonored,PS4,Bethesda Softworks,Action,2012,3.9,0.11,0.18,0.02,0.06,0.37,14000.0,268.0,3100.0,866.0,1100.0,0.0003,0.0191
Dishonored,XOne,Bethesda Softworks,Action,2012,3.9,0.08,0.05,0.0,0.01,0.14,14000.0,268.0,3100.0,866.0,1100.0,0.0001,0.0191
Metal Gear Solid 3: Snake Eater,PS2,Konami Digital Entertainment,Action,2004,4.5,1.46,0.0,0.83,1.93,4.23,9200.0,118.0,2400.0,1300.0,1500.0,0.0028,0.0128
Journey,PS3,Sony Computer Entertainment Europe,Adventure,2012,3.9,0.04,0.15,0.0,0.06,0.25,12000.0,94.0,2700.0,1700.0,1500.0,0.0002,0.0078
Kingdom Hearts,PS2,Sony Computer Entertainment,Role-Playing,2002,3.6,3.64,1.2,1.49,0.07,6.4,12000.0,266.0,2100.0,1000.0,1300.0,0.0049,0.0222
Kingdom Hearts,PS3,Square Enix,Role-Playing,2002,3.6,0.9,0.37,0.25,0.24,1.75,12000.0,266.0,2100.0,1000.0,1300.0,0.0013,0.0222
Doom,PS,Infogrames,Shooter,1993,4.0,0.43,0.3,0.0,0.05,0.78,11000.0,203.0,1500.0,514.0,1400.0,0.0006,0.0185
Doom,GBA,Activision,Shooter,1993,4.0,0.1,0.04,0.0,0.0,0.14,11000.0,203.0,1500.0,514.0,1400.0,0.0001,0.0185
Doom,PC,id Software,Shooter,1993,4.0,0.02,0.0,0.0,0.0,0.03,11000.0,203.0,1500.0,514.0,1400.0,0.0,0.0185
Live A Live,SNES,SquareSoft,Role-Playing,2022,4.1,0.0,0.0,0.32,0.0,0.32,1100.0,235.0,1700.0,1900.0,555.0,0.0006,0.2136
Sonic the Hedgehog,GEN,Sega,Platform,1991,3.1,3.03,0.91,0.26,0.13,4.34,12000.0,60.0,804.0,243.0,1100.0,0.0039,0.005
Sonic the Hedgehog,PS3,Sega,Platform,1991,3.1,0.41,0.07,0.04,0.66,1.18,12000.0,60.0,804.0,243.0,1100.0,0.0011,0.005
Sonic the Hedgehog,X360,Sega,Platform,1991,3.1,0.44,0.49,0.0,0.11,1.05,12000.0,60.0,804.0,243.0,1100.0,0.001,0.005
Sonic the Hedgehog,PS3,Unknown,Platform,1991,3.1,0.0,0.48,0.0,0.0,0.48,12000.0,60.0,804.0,243.0,1100.0,0.0004,0.005
Rocket League,PS4,505 Games,Sports,2015,3.4,0.02,0.14,0.0,0.07,0.23,17000.0,564.0,698.0,113.0,917.0,0.0003,0.0332
Rocket League,XOne,505 Games,Sports,2015,3.4,0.03,0.09,0.0,0.01,0.12,17000.0,564.0,698.0,113.0,917.0,0.0001,0.0332
Rocket League,PC,505 Games,Sports,2015,3.4,0.01,0.01,0.0,0.0,0.02,17000.0,564.0,698.0,113.0,917.0,0.0,0.0332
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,Action,2015,3.7,1.49,1.58,0.1,0.61,3.79,13000.0,279.0,3400.0,757.0,1200.0,0.0032,0.0215
Batman: Arkham Knight,XOne,Warner Bros. Interactive Entertainment,Action,2015,3.7,0.86,0.46,0.0,0.13,1.45,13000.0,279.0,3400.0,757.0,1200.0,0.0012,0.0215
Batman: Arkham Knight,PC,Warner Bros. Interactive Entertainment,Action,2015,3.7,0.08,0.03,0.0,0.01,0.13,13000.0,279.0,3400.0,757.0,1200.0,0.0001,0.0215
Wii Sports,Wii,Nintendo,Sports,2006,3.7,41.49,29.02,3.77,8.46,82.74,18000.0,39.0,320.0,93.0,775.0,0.1068,0.0022
Mario Kart Wii,Wii,Nintendo,Racing,2008,3.9,15.85,12.88,3.79,3.31,35.82,19000.0,88.0,461.0,168.0,1000.0,0.0358,0.0046
Red Dead Redemption,PS3,Take-Two Interactive,Action,2010,4.2,2.79,2.61,0.17,1.03,6.6,13000.0,218.0,2400.0,1600.0,1500.0,0.0044,0.0168
Red Dead Redemption,X360,Take-Two Interactive,Action,2010,4.2,3.7,1.97,0.09,0.57,6.34,13000.0,218.0,2400.0,1600.0,1500.0,0.0042,0.0168
